,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
306,2019-01-01,구로구,26027.0,2019-01-01 00:00:00,구로구,2.0
307,2019-01-01,금천구,17139.0,2019-01-01 00:00:00,금천구,3.0
308,2019-01-01,노원구,24915.0,2019-01-01 00:00:00,노원구,7.0
309,2019-01-01,도봉구,17804.0,2019-01-01 00:00:00,도봉구,4.0
310,2019-01-01,동대문구,13476.0,2019-01-01 00:00:00,동대문구,5.0
311,2019-01-01,동작구,7722.0,0,0,0.0
312,2019-01-01,마포구,17492.0,2019-01-01 00:00:00,마포구,1.0
313,2019-01-01,서대문구,23009.0,2019-01-01 00:00:00,서대문구,3.0
314,2019-01-01,서초구,27514.0,2019-01-01 00:00:00,서초구,2.0
315,2019-01-01,성동구,14865.0,2019-01-01 00:00:00,성동구,4.0
316,2019-01-01,성북구,20622.0,0,0,0.0
317,2019-01-01,송파구,35403.0,2019-01-01 00:00:00,송파구,4.0
318,2019-01-01,양천구,16638.0,2019-01-01 00:00:00,양천구,1.0
319,2019-01-01,영등포구,17675.0,2019-01-01 00:00:00,영등포구,9.0
320,2019-01-01,용산구,19370.0,0,0,0.0
321,2019-01-01,은평구,9575.0,2019-01-01 00:00:00,은평구,2.0
322,2019-01-01,종로구,26384.0,2019-01-01 00:00:00,종로구,2.0
323,2019-01-01,중구,19035.0,2019-01-01 00:00:00,중구,1.0
324,2019-01-01,중랑구,12980.0,2019-01-01 00:00:00,중랑구,5.0
325,2019-02-01,강남구,20918.0,2019-02-01 00:00:00,강남구,1.0
326,2019-02-01,강동구,14655.0,2019-02-01 00:00:00,강동구,1.0
327,2019-02-01,강북구,13149.0,2019-02-01 00:00:00,강북구,1.0
328,2019-02-01,강서구,28622.0,2019-02-01 00:00:00,강서구,6.0
329,2019-02-01,관악구,10958.0,2019-02-01 00:00:00,관악구,2.0
330,2019-02-01,광진구,15199.0,2019-02-01 00:00:00,광진구,3.0
331,2019-02-01,구로구,23145.0,2019-02-01 00:00:00,구로구,2.0
332,2019-02-01,금천구,15686.0,2019-02-01 00:00:00,금천구,1.0
